#,Film,Date,Director,Genre,Year,Viewing,My Rating,Method of Viewing
1,Casino,2019-01-01,Martin Scorcese,Crime,1995,1st,7,Streaming Service
2,Goodfellas,2019-01-01,Martin Scorcese,Crime,1990,4+,10,Illegal Stream/Download
3,The Favourite,2019-01-07,Yorgos Lanthimos,Drama,2018,1st,8,Cinema
4,A Ghost Story,2019-01-07,David Lowery, Mystery,2017,2nd,9,Streaming Service
5,Mid90s,2019-01-12,Jonah Hill,Drama,2018,2nd,8,Illegal Stream/Download
6,Fyre,2019-01-18,Chris Smith,Documentary,2019,1st,5,Streaming Service
7,"Crazy, Stupid Love",2019-01-20,"Glenn Ficara, John Requa",Comedy,2011,4+,6,Streaming Service
8,Sexy Beast,2019-01-22,Jonathan Glazer,Crime,2000,1st,7,Illegal Stream/Download
9,What Richard Did,2019-01-26,Lenny Abrahamson,Drama,2012,1st,6,TV
10,The Grey,2019-01-27,Joe Carnahan,Action,2011,1st,4,Streaming Service
11,Legend,2019-01-28,Brian Helgeland,Crime,2015,1st,6,Streaming Service
12,Leon: The Professional,2019-02-01,Luc Besson,Crime,1994,2nd,5,Streaming Service
13,Only Yesterday,2019-02-02,Isao Takahata,Animation,1991,1st,8,Illegal Stream/Download
14,Vice,2019-02-04,Adam McKay,Biography,2019,1st,6,Cinema
15,Widows,2019-02-07,Steve McQueen,Crime,2018,2nd,7,Illegal Stream/Download
16,Can You Ever Forgive Me?,2019-02-08,Marianne Heller,Biography,2019,1st,7,Illegal Stream/Download
17,Velvet Buzzsaw,2019-02-08,Dan Gilroy,Horror,2019,1st,4,Streaming Service
18,Burning,2019-02-15,Chang-Dong Lee,Drama,2019,1st,8,Cinema
19,Seven Psychopaths,2019-02-17,Martin McDonagh,Comedy,2012,1st,7,Streaming Service
20,The Babadook,2019-02-22,Jennifer Kent,Horror,2014,1st,8,Streaming Service
21,Wings of Desire,2019-02-27,Wim Wenders,Drama,1987,1st,5,Illegal Stream/Download
22,Free Solo,2019-02-28,"Jimmy Chin, Elizabeth Chai Vasarhelyi",Documentary,2018,1st,7,Illegal Stream/Download
23,If Beale Street Could Talk,2019-03-01,Barry Jenkins,Drama,2019,1st,9,Cinema
24,The Passion of Joan of Arc,2019-03-09,Karl Dreyer,Biography,1928,1st,8,Illegal Stream/Download
25,The Guilty,2019-03-11,Gustav Moller,Thriller,2018,1st,7,Illegal Stream/Download
26,The Virgin Suicides,2019-03-11,Sophia Coppolla,Drama,1999,1st,8,Illegal Stream/Download
27,Bottle Rocket,2019-03-24,Wes Anderson,Comedy,1996,1st,6,Illegal Stream/Download
28,Avengers: Infinity War,2019-03-24,Russo bros,Adventure,2018,1st,6,Illegal Stream/Download
29,They Shall Not Grow Old,2019-03-25,Peter Jackson,Documentary,2018,1st,9,Illegal Stream/Download
30,Cries and Whispers,2019-03-25,Ingmar Bergman,Drama,1972,1st,6,Streaming Service
31,Spiderman: into the Spiderverse,2019-03-25,"Bob Perischetti, Peter Ramsey, Rodney Rothman",Animation,2018,1st,7,Illegal Stream/Download
32,The Fugitive,2019-03-25,Andrew Davis,Thriller,1993,1st,5,Illegal Stream/Download
33,Dirty Work,2019-04-06,Bob Saget,Comedy,1998,1st,6,Illegal Stream/Download
34,Cool Hand Luke,2019-04-08,Stuart Rosenberg,Drama,1967,1st,8,Illegal Stream/Download
35,Vertigo,2019-04-11,Alfred Hitchcock,Mystery,1958,1st,5,Illegal Stream/Download
36,Beau Travail,2019-04-16,Claire Denis,War,1999,1st,6,Illegal Stream/Download
37,Katie,2019-04-21,Ross Whitaker,Documentary,2018,1st,6,Illegal Stream/Download
38,High Life,2019-04-22,Claire Denis,Sci Fi,2019,1st,6,Illegal Stream/Download
39,The Verdict,2019-04-22,Sidney Lumet,Drama,1982,1st,7,Illegal Stream/Download
40,Fargo,2019-04-22,"Ethan Coen, Joel Coen",Crime,1996,2nd,10,Streaming Service
41,Misery,2019-04-23,Rob Reiner,Horror,1990,1st,7,Streaming Service
42,City of God,2019-04-23,"Fernando Meirelles, Káita Lund",Crime,2002,2nd,7,Streaming Service
43,Blood Simple,2019-04-24,Ethan Coen,Crime,1984,1st,8,Illegal Stream/Download
44,Hail Caesar!,2019-04-25,"Ethan Coen, Joel Coen",Comedy,2016,1st,7,Streaming Service
45,"Extremely Wicked, Shockingly Evil and Vile",2019-05-10,Joe Berlinger,Biography,2019,1st,4,Streaming Service
46,The Piano Teacher,2019-05-17,Michael Haneke,Drama,2001,1st,8,Illegal Stream/Download
47,Out of Sight,2019-05-18,Stephen Soderbergh,Comedy,1998,1st,7,Streaming Service
48,Valerie and Her Week of Wonders,2019-05-19,Jaromil Jires,Mystery,1970,1st,5,Illegal Stream/Download
49,Three Colours (Blue),2019-05-20,Krzystof Kiewslowski,Drama,1993,1st,6,Illegal Stream/Download
50,Yi Yi,2019-05-23,Edward Yang,Drama,2000,1st,9,Illegal Stream/Download
51,Raging Bull,2019-05-24,Martin Scorcese,Biography,1980,1st,9,Streaming Service
52,Play,2019-06-02,Ruben Östlund,Drama,2011,1st,7,Streaming Service
53,The Age of Innocence,2019-06-05,Martin Scorcese,Romance,1993,1st,6,Streaming Service
54,Lawrence of Arabia,2019-06-23,David Lean,Adventure,1962,1st,8,Illegal Stream/Download
55,"Aguirre, the Wrath of God",2019-06-23,Werner Herzog,Adventure,1972,1st,6,Illegal Stream/Download
56,Amy,2019-06-30,Asif Kapadia,Documentary,2015,1st,9,Illegal Stream/Download
57,Restrepo,2019-07-19,"Tim Hetherington, Sebastian Junger",Documentary,2010,1st,4,Streaming Service
58,Us,2019-07-31,Jordan Peele,Horror,2019,1st,4,Illegal Stream/Download
59,The Thing,2019-07-31,John Carpenter,Horror,1982,1st,6,Streaming Service
60,Logan,2019-08-06,James Mangold,Action,2017,1st,5,Illegal Stream/Download
61,Ash is Purest White,2019-08-08,Zhangke Jia,Drama,2018,1st,7,Illegal Stream/Download
62,Blue Velvet,2019-08-09,David Lynch,Mystery,1986,1st,3,Streaming Service
63,Rush,2019-08-10,Ron Howard,Action,2013,1st,5,Streaming Service
64,Under the Shadow,2019-08-10,Babak Anvari,Horror,2016,1st,7,Streaming Service
65,Half Nelson,2019-08-11,Ryan Fleck,Drama,2006,1st,8,Streaming Service
66,The Souvenir,2019-08-12,Joanna Hogg,Drama,2019,1st,9,Illegal Stream/Download
67,The White Ribbon,2019-08-15,Michael Haneke,Mystery,2009,1st,8,Illegal Stream/Download
68,Klute,2019-08-22,Alan J. Pakula,Mystery,1971,1st,6,Illegal Stream/Download
69,Mr. Turner,2019-08-28,Mike Leigh,Biography,2014,1st,8,Illegal Stream/Download
70,Archipelago,2019-08-23,Joanna Hogg,Drama,2011,1st,8,Streaming Service
71,Fanny and Alexander,2019-09-14,Ingmar Bergman,Drama,1982,1st,8,Streaming Service
72,Lawless,2019-09-15,John Hillcoat,Crime,2012,2nd,6,Streaming Service
73,Maradona,2019-09-16,Asif Kapadia,Documentary,2019,1st,8,Illegal Stream/Download
74,Joker,2019-09-20,Todd Phillips,Crime,2019,1st,7,Cinema
75,Midsommar,2019-09-29,Ari Aster,Horror,2019,1st,8,Illegal Stream/Download
76,Her,2019-10-06,Spike Jonze,Drama,2013,2nd,8,TV
77,The Irishman,2019-11-16,Martin Scorcese,Crime,2019,1st,8,Cinema
78,The Survivalist,2019-11-17,Stephen Fingleton,Drama,2015,1st,6,TV
79,Moneyball,2019-11-24,Bennett Miller,Biography,2011,3rd,7,Streaming Service
80,Heaven Knows What,2019-11-24,"Josh Safdie, Benny Safdie",Drama,2014,1st,7,Streaming Service
81,Once Upon A Time in Hollywood,2019-12-01,Quentin Tarantino,Comedy,2019,1st,7,Illegal Stream/Download
82,Howard's End,2019-12-01,James Ivory,Drama,1992,1st,7,Streaming Service
83,The King of Comedy,2019-12-06,Martin Scorcese,Comedy,1982,1st,7,Illegal Stream/Download
84,The Report,2019-12-07,Scott Z. Burns,Biography,2019,1st,8,Illegal Stream/Download
85,Booksmart,2019-12-08,Olivia Wilde,Comedy,2019,1st,6,Illegal Stream/Download
86,Marriage Story,2019-12-11,Noah Baumbach,Comedy,2019,1st,9,Illegal Stream/Download
87,Ad Astra,2019-12-15,James Gray,Sci Fi,2019,1st,7,Illegal Stream/Download
88,The Big Short,2019-12-18,Adam McKay,Biography,2015,2nd,7,Streaming Service
89,Eyes Wide Shut,2019-12-18,Stanley Kubrick,Drama,1999,1st,8,Illegal Stream/Download
90,The Farewell,2019-12-19,Lucy Wang,Drama,2019,1st,7,Illegal Stream/Download
91,Carrie,2019-12-20,Brian de Palma,Horror,1976,1st,6,TV
92,12 Years a Slave,2019-12-21,Steve McQueen,Biography,2013,2nd,10,Streaming Service
93,Uncut Gems,2019-12-24,"Josh Safdie, Benny Safdie",Crime,2019,1st,7,Illegal Stream/Download
94,The Lighthouse,2019-12-25,Robert Eggers,Fantasy,2019,1st,9,Illegal Stream/Download
95,The Squid and the Whale,2019-12-27,Noah Baumbach,Drama,2005,1st,6,Illegal Stream/Download
96,Little Women,2019-12-27,Greta Gerwig,Drama,2019,1st,10,Cinema
97,Rosemary's Baby,2019-12-28,Roman Polanksi,Horror,1968,1st,8,Illegal Stream/Download
98,The Kid with a Bike,2019-12-31,"Jean-Pierre Dardenne, Luc Dardenne",Drama,2011,1st,7,Illegal Stream/Download
99,The Wicker Man,2019-12-31,Robin Hardy,Horror,1972,1st,8,Illegal Stream/Download